title,company,location,link
Infra사업본부 Bigdata 프로젝트 개발자 件,SK 네트웍스서비스,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2cff377c899798fc
"[Legacy Versum] QA Engineer, 평택",Merck KGaA,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f46fc1d52116909a
Legacy Versum [리가시 버슘] Automation Engineer 평택,Merck KGaA,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=03fa253ba96ac599
[국내 대기업/ IT / 게임회사] 크래시 수집 위한 클라이언트 프로그래머,글로벌터치코리아,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=693ccbc3ab799a93
"백엔드 개발 및 프로비저닝, 제품 구축(AI/빅데이터/VDI/클라우드)",피엔씨서치,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ecee6ee5514b009e
얼굴모션 캡처기술 인공지능(AI) 연구개발 전문기업,인공지능(AI) 연구개발 전문기업,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4fa50f2ffd370bae
Sr Field Engineer I,Raytheon Intelligence & Space,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=856eb0b587603389
바디모션 캡처기술 인공지능(AI) 연구개발 전문기업,인공지능(AI) 연구개발 전문기업,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8925ce6bab9d00d6
Lead Product Engineer - Liberate,Cadence Design Systems,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ffac42e32db26233
[TmaxAI/기술] 기술지원 엔지니어,티맥스소프트,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2a8e6fae00c17acc
NAVER IDC 서버 운영/관리(평촌),NIT Service,안양 동안구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=097c35ed002a62e5
"JAVA, Python 외 신입/경력 정규직, 계약직",여니,경기도 의왕,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3faad1cd7ea60ffd
데이터 분석가,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=092d062a6faa7139
정보보안 담당자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=eeb9fe1c361f0758
"Counter Intelligence and HUMINT Operations Analyst, Mid",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c3d7487ed86d9cbe
보험 신규사업 비즈니스 분야 담당자 영입,카카오페이,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e30f23f4f814b717
연구소 개발부문 연구원 직원 (회로설계/하드웨어설계/머신비전/이미지프로세싱),모든,경기도 광명,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=f9708bb999003b5f
Launcher팀 소프트웨어 엔지니어,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d71794dc69947981
2020년 수시 머신러닝(S/W) (8월17일 마감),에스에프에이,경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=7acf56f46a29347d
분석지원팀 - 데이터 분석가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=4233609a843b5e96
"NAVER, LINE 서비스 플랫폼 운영",엔아이티서비스,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ae4fe13ef3b2fcb6
추천 통계분석/데이터사이언티스트,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=bfe0f5ac4f32ec89
[빅데이터분석] 데이터 엔지니어,한국카카오은행,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=5eb3b5ea1be144c1
[정보보안] 보안분석 플랫폼 개발 및 운영 담당자,한국카카오은행,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=ee96214cbdb0310f
Field Data Scientist,Success Korea,경기도,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2892c67308e87f01
Senior Field Service Engineer,Huntington Ingalls Industries Inc.,경기도 평택,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d5be40de21d8637a
광고팀 - 분석가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3a08c7089343733d
추천 시스템 소프트웨어 엔지니어,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=07375dc4e800dfa9
MongoDB Engineer,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2695294aea6dc3b6
빅데이터 분석 기술인력,한국정보기술단,과천 과천시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=3cc384be4fd74af2
카카오톡 보이스톡/페이스톡/라이브톡 개발자,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=d585814d097935eb
분석실 - 베이지안 분석 전문가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=19b44e0d17d112e2
"Counter Intelligence and HUMINT Operations Analyst, Senior",Booz Allen Hamilton,경기도 평택,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1d1a37aff94c12d7
콘텐츠서비스개발팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b35da47f5e84c9b4
데스크탑 가상화(VDI) 엔지니어,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=530a598184580c95
TOAST CAM 임베디드 개발,NHN,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1a75ce748c5f24e9
매칭팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=48090bdf1303bd76
유저프로파일팀 - 데이터 모델러,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8dfc9993e2aa9160
신입 펌웨어 개발자,와이제이테크놀로지,경기도 화성,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=87a30e8ffe892875
